cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000001669	PPARA	17	20	12	15	15	16	7	12	4	19
TRCN0000001674	PPARG	12	13	11	14	14	14	13	3	24	5
TRCN0000001704	WEE1	9	9	13	9	10	10	1	2	3	1
TRCN0000001709	PSKH1	14	14	17	16	15	14	3	2	1	1
TRCN0000001755	CAMK1D	8	9	10	8	9	8	2	1	2	1
TRCN0000001777	LATS1	11	8	9	14	9	14	4	17	3	6
TRCN0000001809	PBK	8	9	8	9	9	9	4	1	9	11
TRCN0000000686	CDK10	17	18	14	17	18	20	5	16	23	8
TRCN0000220102	SYT2	14	15	24	17	18	14	9	32	1	8
TRCN0000220105	MYLK3	113	121	110	114	110	120	60	59	79	69
TRCN0000220132	DUSP14	19	23	17	19	19	20	17	8	9	22
TRCN0000220133	DUSP14	51	48	34	49	50	55	73	52	57	69
TRCN0000220143	PTPRT	55	53	60	54	49	38	65	87	99	35
TRCN0000220148	DUSP10	8	10	7	10	9	10	3	29	6	1
TRCN0000220151	DUSP12	43	43	58	47	44	45	6	26	4	9
TRCN0000001912	PPP1R13B	20	18	24	17	18	18	4	2	14	10
TRCN0000001018	MAPK10	19	23	17	25	22	21	61	47	69	25
TRCN0000001948	PRKD2	13	13	17	12	13	13	13	32	33	26
TRCN0000001955	SNRK	22	23	16	23	22	25	104	95	76	77
TRCN0000001961	NEK11	28	29	27	30	29	24	64	133	72	113
TRCN0000001975	TENC1	14	14	17	14	11	12	3	2	2	4
TRCN0000002024	ROR1	16	17	16	17	16	15	119	8	6	4
TRCN0000002040	TNK2	12	11	18	11	10	12	35	26	36	20
TRCN0000002079	STK33	12	14	16	14	13	14	21	20	19	7
TRCN0000002092	STK35	17	15	17	13	16	18	5	6	4	4
TRCN0000002109	SYT14	17	20	14	21	20	21	46	11	17	21
TRCN0000002114	PAK2	33	32	28	33	32	32	99	142	62	191
TRCN0000002116	PAK2	26	27	22	12	28	27	24	13	12	8
TRCN0000002119	PIK3C2B	11	12	7	11	10	10	34	3	3	18
TRCN0000002126	PRKD1	12	12	9	9	10	12	29	28	20	39
TRCN0000002144	DCLK1	23	23	15	24	22	24	8	4	15	21
TRCN0000002159	ROCK1	18	19	22	22	20	23	11	4	11	5
TRCN0000002171	PRKAA2	18	17	22	18	14	17	2	12	1	2
TRCN0000002192	TNNI3K	15	16	18	14	14	14	25	2	5	4
TRCN0000002200	MYO3A	8	7	11	8	8	8	5	30	2	4
TRCN0000002212	MAPK15	5	5	6	5	5	4	12	12	4	4
TRCN0000002215	CDK20	6	6	5	6	5	5	2	1	4	4
TRCN0000002236	MAP4K2	16	15	14	16	15	15	17	5	8	2
TRCN0000002248	TESK1	14	12	20	12	13	12	2	4	8	7
TRCN0000002263	RPS6KA6	16	15	17	16	15	18	91	277	90	99
TRCN0000002271	HUNK	14	13	12	14	14	17	9	4	6	2
TRCN0000002277	MASTL	17	15	17	19	21	18	2	1	1	1
TRCN0000002291	NEK10	30	30	32	32	30	31	12	11	63	8
TRCN0000002326	PRKCG	29	27	24	28	29	26	27	28	48	76
TRCN0000002346	MAP3K6	31	35	28	34	32	33	9	3	6	2
TRCN0000002367	CDK14	23	25	30	27	28	30	74	20	11	8
TRCN0000002386	SCYL3	27	27	24	28	26	31	15	23	8	48
TRCN0000002388	SCYL3	8	8	8	7	7	8	1	1	1	1
TRCN0000002434	CDC25C	23	26	24	28	27	30	12	13	32	8
TRCN0000002450	PPM1B	24	23	20	26	25	24	15	6	11	11
TRCN0000002550	PPEF1	8	8	12	9	10	8	1	1	1	1
TRCN0000002604	DAPP1	38	21	62	45	25	56	3	6	3	8
TRCN0000002618	RPRD1A	60	63	17	8	9	3	1	1	1	1
TRCN0000002624	MTMR14	24	27	30	26	24	22	54	73	31	39
TRCN0000002631	TNS3	14	16	11	15	13	16	10	7	3	33
TRCN0000002633	DUSP26	13	12	9	5	13	12	1	1	6	2
TRCN0000002638	PPP1R3B	35	37	44	38	40	38	5	24	55	7
TRCN0000002652	ILKAP	25	23	18	20	21	27	41	10	13	32
TRCN0000002667	PTPN5	11	12	17	14	12	12	5	1	3	2
TRCN0000002673	PPP1R16A	9	10	11	9	10	11	3	7	24	2
TRCN0000002678	DUSP15	18	18	20	19	20	15	4	34	11	16
TRCN0000002679	DUSP15	20	19	20	22	23	23	19	7	20	11
TRCN0000002683	SIRPA	6	5	4	7	7	7	6	2	8	6
TRCN0000002704	PPTC7	26	27	16	29	25	25	55	19	63	29
TRCN0000002707	PPM1M	17	16	19	18	17	17	4	5	22	33
TRCN0000002721	DUSP18	14	13	20	16	16	14	18	13	8	21
TRCN0000002730	ILVBL	6	6	9	5	6	6	2	1	5	3
TRCN0000002749	PTEN	35	35	26	35	34	37	116	42	90	38
TRCN0000002758	PPP3R1	11	10	9	10	10	11	1	1	1	1
TRCN0000002791	PTPN4	14	15	16	16	14	16	10	12	4	12
TRCN0000002799	PSPH	29	30	36	31	30	28	13	40	23	22
TRCN0000002816	PKIB	19	20	19	20	20	20	2	1	6	15
TRCN0000002818	PKIB	5	6	4	5	5	5	3	71	1	6
TRCN0000002825	PTPN9	14	14	21	17	13	13	15	19	29	37
TRCN0000002845	PTPRC	15	15	17	16	16	16	1	1	1	1
TRCN0000002860	PTPRG	15	16	8	10	18	17	4	10	5	3
TRCN0000002877	PTPRK	10	11	11	14	12	12	8	12	4	18
TRCN0000002885	PTPRN	15	15	15	18	17	17	3	2	3	4
TRCN0000002898	SAG	14	16	12	8	15	16	87	15	15	100
TRCN0000002923	PTP4A1	22	22	15	19	20	22	10	6	7	9
TRCN0000002936	CILP	16	5	45	38	6	25	7	13	44	16
TRCN0000002937	CILP	12	13	11	13	12	14	1	5	3	3
TRCN0000002940	PPM1D	4	3	3	3	3	4	1	1	1	1
TRCN0000002945	RSC1A1	14	17	17	15	14	14	7	11	10	10
TRCN0000002965	PPFIA2	16	16	18	17	15	16	20	32	56	27
TRCN0000003007	PTPLA	3	3	6	3	3	3	3	1	1	4
TRCN0000003014	MTMR3	6	7	7	7	7	7	3	1	3	5
TRCN0000003022	PSTPIP2	8	8	12	9	8	8	4	35	2	20
TRCN0000003028	CCRN4L	3	3	3	3	3	3	2	1	5	4
TRCN0000003076	PPP1R12C	10	9	12	11	10	11	6	4	21	4
TRCN0000003133	PRKAB2	6	6	7	7	7	8	9	1	6	22
TRCN0000003176	ARHGEF2	19	21	26	21	20	23	15	7	9	27
TRCN0000003212	KIAA1804	18	19	17	18	18	18	10	5	6	4
TRCN0000003222	TSSK2	14	15	15	13	14	13	34	12	64	49
TRCN0000003223	TSSK2	12	12	13	13	13	12	16	20	33	29
TRCN0000003291	GSC	9	5	17	14	7	10	2	2	5	3
TRCN0000003294	COL3A1	17	18	19	18	18	18	22	8	9	7
TRCN0000003301	ESR1	16	17	15	14	15	15	3	10	4	14
TRCN0000003307	HGF	39	39	28	41	38	45	4	3	6	10
TRCN0000003329	FGF2	5	6	3	5	5	5	3	6	6	2
TRCN0000003333	FGF2	17	20	15	19	19	20	16	26	12	32
TRCN0000003355	MAML1	13	13	18	11	13	12	1	1	1	1
TRCN0000003457	TRIM32	11	10	3	3	9	11	6	11	5	2
TRCN0000003471	SMURF1	14	12	13	14	13	13	21	10	23	8
TRCN0000003510	CASP4	8	9	13	10	9	9	3	2	14	5
TRCN0000003534	C1S	9	6	10	14	7	12	4	10	11	17
TRCN0000003539	CAPN2	9	9	16	11	10	12	6	4	12	3
TRCN0000003548	CAPNS1	9	9	7	10	9	9	1	3	1	1
TRCN0000003578	CASP8	16	14	14	15	14	15	17	17	26	18
TRCN0000003607	CTSC	18	18	22	19	19	18	124	20	28	29
TRCN0000003615	CMA1	16	16	14	15	17	16	4	14	27	9
TRCN0000003622	COL6A3	20	20	21	23	21	21	26	18	40	32
TRCN0000003628	CTSK	34	36	21	37	33	26	43	77	43	32
TRCN0000003629	CTSK	19	21	9	18	16	18	42	9	34	26
TRCN0000003682	CELA1	14	16	17	18	19	16	13	5	8	3
TRCN0000003714	AR	5	6	15	6	5	6	20	21	10	9
TRCN0000003715	AR	45	44	50	44	45	51	69	15	89	27
TRCN0000003719	ERCC8	15	14	16	16	16	17	4	1	2	3
TRCN0000003720	ERCC8	18	18	21	20	20	19	29	4	11	14
TRCN0000003723	ERCC8	23	22	31	23	26	24	11	46	32	38
TRCN0000003739	APOB	4	4	4	6	5	4	1	1	1	1
TRCN0000003758	TNF	19	20	24	20	21	21	10	11	14	27
TRCN0000003761	NOS2	14	15	11	16	15	16	20	12	20	10
TRCN0000003816	ARNT	15	15	16	14	15	14	4	2	2	2
TRCN0000003831	CCNF	17	20	19	19	20	21	5	19	7	9
TRCN0000003884	PSMA4	11	11	12	11	11	12	1	1	1	1
TRCN0000003885	PSMA4	9	10	8	11	10	11	1	9	7	1
TRCN0000003911	PSMB3	9	8	15	10	9	12	1	1	1	1
TRCN0000003918	PSMB5	6	5	10	6	6	7	1	2	2	3
TRCN0000003925	PSMB6	66	69	66	66	63	62	1	1	7	1
TRCN0000003981	SRF	4	4	5	4	5	4	1	6	1	2
TRCN0000003998	UBA52	10	10	14	10	11	9	48	39	80	68
TRCN0000004004	UBA1	7	9	9	9	10	9	13	2	2	2
TRCN0000004026	UBE2H	19	21	17	18	21	23	2	2	4	1
TRCN0000004027	UBE2H	3	3	6	4	4	4	1	1	1	1
TRCN0000004032	TMEM189-UBE2V1	4	4	5	4	4	4	2	1	3	1
TRCN0000004053	CXCR4	23	26	18	25	23	25	45	114	47	48
TRCN0000004069	USP5	14	15	13	16	15	16	1	1	1	1
TRCN0000004091	RCHY1	15	15	25	15	15	15	5	8	3	7
TRCN0000004143	RLIM	25	24	26	27	25	28	26	40	38	44
TRCN0000004154	ANAPC5	16	17	17	20	19	17	11	47	35	60
TRCN0000004157	BIRC6	29	29	19	25	27	31	3	7	2	2
TRCN0000004168	HERC5	18	17	25	22	19	25	7	5	5	6
TRCN0000004178	RNF141	20	22	18	22	19	24	36	34	38	30
TRCN0000004227	UBE2R2	13	14	20	13	14	16	2	5	1	3
TRCN0000004261	RNF13	19	19	23	22	21	19	35	21	38	21
TRCN0000004269	AUP1	13	12	17	12	13	14	2	8	4	1
TRCN0000004280	FBXL2	49	52	49	51	46	45	13	22	25	13
TRCN0000004282	FBXL3	19	19	8	19	19	20	49	18	46	17
TRCN0000004289	FBXL21	36	40	25	34	33	35	55	110	94	94
TRCN0000004333	FBXO5	26	25	29	19	29	32	51	35	30	79
TRCN0000004335	FBXO5	13	15	16	19	17	18	1	1	1	1
TRCN0000004373	UBQLN1	25	26	20	27	28	28	5	2	5	5
TRCN0000004386	UBE2T	9	8	12	9	8	7	2	5	8	8
TRCN0000004397	SENP1	15	18	15	15	15	17	12	23	8	14
TRCN0000004402	UBXN4	15	14	11	15	15	14	27	82	58	30
TRCN0000004410	HERPUD1	24	27	19	22	21	23	4	3	16	2
TRCN0000004432	ANAPC10	30	27	24	21	29	31	10	4	26	8
TRCN0000004471	IMPACT	21	19	24	21	20	19	24	11	11	32
TRCN0000004473	UBAP2	23	23	17	19	20	23	70	58	55	36
TRCN0000004479	USP49	12	12	15	14	10	13	3	17	4	7
TRCN0000004493	TNRC6C	16	16	19	7	18	16	4	7	20	9
