cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000059338	ABCA3	17	17	18	1	3	1
TRCN0000059340	ABCA3	16	16	12	2	3	2
TRCN0000059341	ABCA3	20	22	20	2	7	3
TRCN0000059342	ABCA3	18	19	17	9	8	14
TRCN0000059523	ABCA7	27	26	23	76	25	39
TRCN0000059524	ABCA7	31	35	44	96	96	82
TRCN0000059525	ABCA7	23	22	29	75	64	41
TRCN0000059526	ABCA7	19	17	23	26	50	43
TRCN0000059527	ABCA7	19	21	16	8	10	8
TRCN0000060183	ABCC10	27	22	30	2	1	4
TRCN0000060185	ABCC10	18	19	12	91	241	117
TRCN0000060186	ABCC10	27	28	22	11	2	8
TRCN0000060187	ABCC10	16	14	15	14	40	38
TRCN0000059714	ABCC6	15	15	20	14	12	8
TRCN0000059715	ABCC6	6	7	4	1	1	1
TRCN0000059716	ABCC6	7	7	8	11	26	12
TRCN0000059717	ABCC6	7	7	5	6	7	12
TRCN0000075323	ABHD14B	30	32	32	37	37	16
TRCN0000075324	ABHD14B	14	15	10	1	1	3
TRCN0000075325	ABHD14B	17	16	22	4	10	6
TRCN0000075326	ABHD14B	21	23	23	86	64	103
TRCN0000075327	ABHD14B	19	21	18	7	11	12
TRCN0000035244	ABO	19	19	19	16	40	13
TRCN0000035245	ABO	11	12	11	3	3	2
TRCN0000035246	ABO	14	15	15	19	39	43
TRCN0000035247	ABO	9	7	11	2	5	6
TRCN0000035248	ABO	6	3	13	1	6	1
TRCN0000019604	ACAD8	14	13	7	3	15	3
TRCN0000019605	ACAD8	11	12	9	11	7	6
TRCN0000019606	ACAD8	10	6	11	3	3	2
TRCN0000019607	ACAD8	8	9	16	3	1	1
TRCN0000019608	ACAD8	16	16	12	1	8	1
TRCN0000045698	ACSM1	16	16	22	12	32	19
TRCN0000045699	ACSM1	10	10	8	75	28	19
TRCN0000045700	ACSM1	16	15	16	72	14	15
TRCN0000045701	ACSM1	17	19	23	277	106	114
TRCN0000045702	ACSM1	13	15	11	4	5	7
